track_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Artist
thought i was playing,2,2022,1,7,807,0,60680939.0,3,0,5.0,0,0.0,148,C#,Major,68,29,73,0,0,7,7,Gunna
traitor,2,2021,5,21,5257,6,1230855859.0,85,43,134.0,0,2.0,176,D#,Major,29,12,33,68,0,12,5,Juan Cruz Toledo
traitor,2,2021,5,21,5257,6,1230855859.0,85,43,134.0,0,2.0,176,D#,Major,29,12,33,68,0,12,5,Huilen Toledo
un x100to,2,2023,4,17,2876,40,505671438.0,41,205,54.0,12,251.0,83,F#,Minor,57,56,72,23,0,27,5,Bad Bunny
un x100to,2,2023,4,17,2876,40,505671438.0,41,205,54.0,12,251.0,83,F#,Minor,57,56,72,23,0,27,5,Grupo Frontera
vampire,1,2023,6,30,1397,113,140003974.0,94,207,91.0,14,949.0,138,F,Major,51,32,53,17,0,31,6,Olivia Rodrigo
we fell in love in october,1,2018,11,21,6858,0,723043854.0,31,21,15.0,0,4.0,130,G,Major,57,24,37,11,18,16,3,girl in red
you broke me first,1,2020,4,17,6638,0,1180094974.0,167,19,318.0,0,1.0,124,E,Major,64,8,37,79,0,9,5,Tate McRae
ýýý98 Braves,1,2023,3,3,282,0,56533272.0,6,15,0.0,0,0.0,142,D,Major,49,48,67,10,0,26,3,Morgan Wallen
ýýýabcdefu,1,2021,8,13,7215,0,1007612429.0,170,12,575.0,18,2.0,122,E,Major,70,42,54,30,0,37,5,Gayle
ýýýýýýýýýýýý,1,2023,4,12,356,16,143573775.0,35,102,8.0,1,117.0,166,C#,Major,57,84,94,11,0,37,9,YOASOBI
ýýýýýýýýýýýýýýýýýýýýý,1,2020,5,20,685,14,403097450.0,24,94,9.0,0,23.0,158,F#,Minor,60,52,76,17,0,19,5,Fujii Kaze
